Word,Part of Speech,CEFR Level,Definition,Example Sentence
a,article,A1,indefinite article used before vowels,He is a teacher.
ability,noun,B1,the power or skill to do something,She has the ability to speak five languages.
able,adjective,A2,having the power or skill to do something,I am able to help you.
about,preposition,A1,on the subject of,We talked about the weather.
above,preposition,A1,at a higher level than,The bird flew above the trees.
abroad,adverb,B1,in or to a foreign country,She traveled abroad last summer.
absence,noun,B1,the state of being away,His absence was noticed by everyone.
absolute,adjective,C1,complete and not limited,We need absolute silence in the library.
absolutely,adverb,B2,completely and without doubt,That's absolutely correct.
academic,adjective,B2,relating to education or study,He has strong academic skills.
accept,verb,A2,to receive or agree to something,I accept your invitation.
access,noun,B1,the ability to enter or use,Students have access to the library.
accident,noun,A2,an unexpected event that causes damage or injury,There was a car accident on the highway.
accommodate,verb,B2,to provide lodging or adjust to,The hotel can accommodate 200 guests.
accompany,verb,B1,to go with someone,She will accompany me to the concert.
accomplish,verb,B2,to complete successfully,He accomplished his goal.
account,noun,A2,a record of money or a story,She opened a bank account.
accurate,adjective,B2,correct and precise,The information is accurate.
achieve,verb,B1,to successfully complete or reach,She achieved her dreams.
achievement,noun,B2,a successful accomplishment,Winning the award was a great achievement.
acknowledge,verb,B2,to admit or recognize,He acknowledged his mistake.
acquire,verb,B2,to obtain or gain,She acquired new skills during the training.
act,verb,A2,to behave or perform,The actor acted in a famous movie.
action,noun,A2,something done,Quick action was needed.
activity,noun,A1,something you do,Playing sports is a fun activity.
actual,adjective,B1,real or existing in fact,The actual cost was higher than expected.
actually,adverb,A2,in reality or really,I'm actually quite shy.
adapt,verb,B2,to adjust or change,She adapted to the new environment quickly.
add,verb,A1,to put together or combine,Add two plus three.
addition,noun,A2,the act of adding or something extra,In addition to that, we need help.
address,noun,A1,the location where someone lives,What is your address?
adequate,adjective,B2,sufficient or enough,The funding is adequate for the project.
adjust,verb,B1,to change or adapt,Please adjust the temperature.
administration,noun,B2,the management of an organization,The administration approved the proposal.
admit,verb,B1,to allow entry or confess,She admitted her error.
adopt,verb,B2,to take as one's own or accept,They adopted a new policy.
adult,noun,A2,a fully grown person,Adults should supervise children.
advance,verb,B1,to move forward or progress,Technology continues to advance.
advantage,noun,B1,a beneficial factor,Having experience is an advantage.
adventure,noun,B1,an exciting or daring experience,Their adventure in the mountains was thrilling.
advertise,verb,B1,to make known publicly,The company advertised their new product.
advice,noun,B1,suggestions on what to do,She gave me good advice.
advise,verb,B1,to offer suggestions or guidance,I advise you to study hard.
affair,noun,B2,a matter or event,That's a complicated affair.
affect,verb,B1,to influence or change,The weather affects my mood.
afford,verb,B1,to have enough money for,I can't afford that expensive car.
afraid,adjective,A2,feeling fear or worry,I'm afraid of heights.
age,noun,A1,the number of years someone has lived,What is your age?
agency,noun,B2,a business or organization,She works for a travel agency.
agent,noun,B2,a person who acts on behalf of another,A real estate agent helped us find a house.
agree,verb,A2,to have the same opinion,I agree with you.
agreement,noun,B1,a mutual understanding or contract,We signed an agreement.
agriculture,noun,B2,farming and crop production,Agriculture is important to the economy.
ahead,adverb,B1,in front or in the future,We are ahead of schedule.
aim,verb,B1,to point or direct toward,She aims to become a doctor.
air,noun,A1,the atmosphere around earth,I need fresh air.
airplane,noun,A2,an aircraft,We flew on an airplane.
airport,noun,A2,a place where airplanes take off and land,The airport is busy today.
alarm,noun,B1,a warning sound or device,The alarm went off at 6 AM.
alcohol,noun,B1,a drink containing ethanol,He doesn't drink alcohol.
alert,adjective,B2,watchful and attentive,The security guard remained alert.
alike,adjective,B1,similar or the same,The twins look alike.
alive,adjective,A2,living or not dead,The plant is still alive.
allow,verb,A2,to permit or enable,Parents allow their children to play.
almost,adverb,A2,nearly or very close to,It's almost midnight.
alone,adjective,A2,without other people,She lives alone.
along,preposition,A2,moving beside something,We walked along the beach.
aloud,adverb,B1,with an audible voice,Please read aloud.
already,adverb,A2,before now or earlier,I already finished my homework.
also,adverb,A1,additionally or too,I also like pizza.
alter,verb,B2,to change or modify,We need to alter the plans.
alternative,noun,B1,another possibility or option,Do you have an alternative suggestion?
although,conjunction,B1,even though or despite,Although it rained we went out.
altogether,adverb,B2,completely or in total,That's altogether different.
always,adverb,A2,at all times or every time,I always brush my teeth before bed.
amateur,noun,B2,a person who does something for pleasure not professionally,He is an amateur photographer.
amazing,adjective,B1,very surprising or impressive,That was an amazing performance.
ambition,noun,B2,a strong desire to succeed,Her ambition is to become a doctor.
ambitious,adjective,B2,having a strong desire to succeed,He is an ambitious person.
among,preposition,A2,surrounded by or within,He walked among the trees.
amount,noun,A2,a quantity or total,A large amount of money was spent.
amuse,verb,B1,to entertain or make laugh,The clown amused the children.
amusing,adjective,B1,funny or entertaining,That's an amusing story.
an,article,A1,used before words starting with a vowel sound,She is an engineer.
analysis,noun,B2,detailed examination or study,The analysis showed interesting results.
analyze,verb,B2,to examine in detail,Please analyze the data.
ancient,adjective,B1,very old or from long ago,Egypt has many ancient monuments.
and,conjunction,A1,used to connect words or phrases,I like cats and dogs.
angel,noun,B1,a spiritual being in religion,The painting shows an angel.
anger,noun,B1,strong feeling of displeasure,He felt anger towards injustice.
angle,noun,B1,the space between two lines or surfaces,The angle is 90 degrees.
angry,adjective,A2,feeling or expressing anger,She was angry with him.
animal,noun,A1,a living creature,The dog is a domestic animal.
announce,verb,B1,to make known publicly,The principal announced the new policy.
announcement,noun,B1,a public statement,An announcement was made on the radio.
annoy,verb,B1,to irritate or bother,The noise annoyed me.
annual,adjective,B1,happening once a year,The annual meeting is in December.
another,pronoun,A2,one more or a different one,Can I have another cup of coffee?
answer,noun,A1,a response or solution,I don't know the answer to that question.
answer,verb,A1,to respond or reply,Please answer the question.
anticipate,verb,B2,to expect or look forward to,We anticipate good results.
anxiety,noun,B2,a feeling of worry or nervousness,She felt anxiety before the exam.
anxious,adjective,B2,worried or nervous,He was anxious about his presentation.
any,determiner,A1,one or some of something,Do you have any questions?
anybody,pronoun,A2,any person,Is anybody home?
anyhow,adverb,B1,in any case or anyway,I'm going anyhow.
anyone,pronoun,A2,any person,Does anyone want dessert?
anything,pronoun,A1,any thing,Is there anything I can help with?
anyway,adverb,B1,in any case regardless,I'll go anyway.
anywhere,adverb,A2,in any place,You can sit anywhere you like.
apart,adverb,B1,separated or at a distance,They lived apart for years.
apartment,noun,A2,a flat or residential unit,She lives in an apartment.
apologize,verb,B1,to express regret or say sorry,I apologize for my mistake.
apology,noun,B1,an expression of regret,He gave a sincere apology.
apparent,adjective,B2,clearly seen or understood,It was apparent he was upset.
appeal,verb,B2,to make a serious request or attract,The movie appeals to young audiences.
appear,verb,A2,to come into view or seem,She appeared at the door.
appearance,noun,B1,the way something or someone looks,His appearance was neat and clean.
appetite,noun,B1,a desire for food,I have a big appetite today.
applaud,verb,B1,to show approval by clapping,The audience applauded the performance.
applause,noun,B1,approval shown by clapping,The speech received loud applause.
apple,noun,A1,a round red or green fruit,I ate a green apple.
application,noun,B1,a formal request or a program,I submitted my job application.
apply,verb,B1,to make a formal request or use,She applied for the position.
appoint,verb,B2,to assign to a position,The board appointed a new director.
appointment,noun,B1,a scheduled meeting,I have a doctor's appointment tomorrow.
appreciate,verb,B1,to be grateful for or value,I appreciate your help.
appreciation,noun,B2,gratitude or recognition,He showed his appreciation with a gift.
approach,verb,B1,to come near or deal with,Winter is approaching.
approach,noun,B1,a way of dealing with something,What approach should we take?
appropriate,adjective,B2,suitable or proper,That dress is appropriate for the occasion.
approval,noun,B1,permission or agreement,The project needs management approval.
approve,verb,B1,to agree with or allow,The director approved the budget.
approximate,adjective,B2,nearly exact or roughly,The approximate cost is $100.
April,noun,A1,the fourth month of the year,April has 30 days.
arch,noun,B1,a curved structure spanning an opening,The bridge has a beautiful arch.
architect,noun,B2,a professional who designs buildings,The architect designed the building.
architecture,noun,B2,the art of designing buildings,Modern architecture is innovative.
area,noun,A2,a region or section of space,This area is very crowded.
argue,verb,B1,to have a disagreement or present reasons,Don't argue with your sister.
argument,noun,B1,a disagreement or set of reasons,They had an argument about money.
arise,verb,B2,to come into being or stand up,Problems arose during the project.
arm,noun,A1,the limb between shoulder and hand,She raised her arm.
armed,adjective,B1,carrying weapons,Armed police were at the scene.
arms,noun,B1,weapons,The country's military arms were displayed.
army,noun,B1,a large military force,He joined the army.
around,preposition,A1,on all sides of or approximately,The children gathered around the teacher.
arrange,verb,B1,to organize or put in order,Please arrange the chairs in a circle.
arrangement,noun,B1,an organized system or design,The flower arrangement was beautiful.
arrest,verb,B1,to capture or stop someone legally,The police arrested the suspect.
arrival,noun,B1,the act of arriving,The train's arrival was delayed.
arrive,verb,A2,to reach a destination,We arrived at the station.
arrow,noun,B1,a projectile with a pointed head,He shot an arrow at the target.
art,noun,A2,creative work or creative ability,She studies art in school.
article,noun,B1,a piece of writing or object,He wrote an article for the newspaper.
artificial,adjective,B1,made by people not natural,The flowers are artificial.
artist,noun,A2,a person who creates art,She is a talented artist.
artistic,adjective,B2,relating to art or creative,He has artistic talent.
as,conjunction,A2,at the same time that or because,As we walked we talked.
as,preposition,A2,in the role or function of,She works as a teacher.
ash,noun,B1,powder left after burning,Cigarette ash fell on the floor.
ashamed,adjective,B2,feeling shame or embarrassment,He was ashamed of his behavior.
ashore,adverb,B1,on the shore,The boat came ashore.
aside,adverb,B1,to one side or apart,She pulled the curtain aside.
ask,verb,A1,to request information or help,Can I ask you a question?
asleep,adjective,A2,sleeping,The baby is asleep.
aspect,noun,B2,a particular part or feature,We discussed every aspect of the plan.
aspiration,noun,C1,a strong desire or ambition,His aspiration was to become a lawyer.
assert,verb,B2,to state firmly or claim,He asserts his innocence.
assess,verb,B2,to evaluate or judge,The teacher assessed the student's work.
assessment,noun,B2,an evaluation or judgment,The assessment showed progress.
asset,noun,B2,a useful item or advantage,Good health is an asset.
assign,verb,B2,to give a task or distribute,The teacher assigned homework.
assignment,noun,B2,a task or job given,The assignment is due tomorrow.
assist,verb,B1,to help or support,Can you assist me with this?
assistance,noun,B1,help or support,I need your assistance.
assistant,noun,B1,a person who helps,She is a teaching assistant.
associate,verb,B2,to connect or link together,People associate chocolate with love.
associate,noun,B2,a colleague or partner,He is my business associate.
association,noun,B2,a group or organization,She joined a professional association.
assort,verb,B2,to arrange in groups,Please assort the items by color.
assorted,adjective,B2,various or mixed,We have assorted flavors available.
assume,verb,B1,to suppose or take for granted,I assume you know about the meeting.
assumption,noun,B2,a thing supposed to be true,That assumption is incorrect.
assurance,noun,B2,a positive declaration or guarantee,He gave me assurance it would work.
assure,verb,B2,to tell someone something positively,I assure you it's safe.
astonish,verb,B2,to surprise greatly,Her talent astonished everyone.
astonished,adjective,B2,very surprised,He looked astonished.
astonishing,adjective,B2,extremely surprising,That's an astonishing discovery.
astonishment,noun,B2,great surprise,Her face showed astonishment.
astound,verb,B2,to shock or surprise greatly,The news astounded us.
astray,adverb,B1,away from the right path,The ship went astray.
astrology,noun,B2,the study of stars and planets' influence,Some people believe in astrology.
astronomy,noun,B2,the science of stars and planets,She studies astronomy.
at,preposition,A1,used to indicate location or time,Meet me at the station at noon.
ate,verb,A1,past tense of eat,I ate breakfast this morning.
athlete,noun,B1,a person who competes in sports,He is a professional athlete.
athletic,adjective,B1,relating to physical fitness or sports,Athletic activities are healthy.
athletics,noun,B1,sports and physical exercise,She participates in athletics.
atmosphere,noun,B1,the air around earth or mood,The atmosphere at the party was fun.
atom,noun,B2,the smallest part of an element,An atom is very small.
atomic,adjective,B2,relating to atoms,Atomic energy is powerful.
attach,verb,B1,to fasten or connect,Please attach the file to the email.
attachment,noun,B1,something attached or an emotional bond,The email has an attachment.
attack,verb,B1,to assault or criticize,The army attacked the city.
attack,noun,B1,an assault or criticism,The attack was unexpected.
attain,verb,B2,to achieve or reach,She attained her goal.
attainment,noun,B2,an achievement,His attainment of the degree was celebrated.
attempt,verb,B1,to try,She attempted to solve the problem.
attempt,noun,B1,a try or effort,His first attempt was successful.
attend,verb,B1,to go to an event or give attention,Will you attend the meeting?
attendance,noun,B1,the act of being present,Attendance is required.
attendant,noun,B2,a person who attends to people,A flight attendant served drinks.
attention,noun,B1,the act of focusing on something,Please pay attention in class.
attentive,adjective,B2,paying careful attention,The audience was attentive.
attic,noun,B1,a room or space just under a roof,We stored boxes in the attic.
attire,noun,B2,clothes or clothing,Formal attire is required.
attitude,noun,B1,a way of feeling or thinking,He has a positive attitude.
attorney,noun,B2,a lawyer,She consulted with an attorney.
attract,verb,B1,to draw towards or appeal to,The magnet attracts metal.
attraction,noun,B1,something that draws interest,The theme park is a popular attraction.
